month,year,unemp,supp_1,supp_2,supp_3,supp_4,bination_1,bination_2,bination_3,bination_4,trust_1,trust_2,trust_3,trust_4,trust_5,legis_1,legis_2,legis_3,legis_4,milit_1,milit_2,optp_1,optp_2,optp_3,optp_4,method_1,method_2,method_3,rocket_1,rocket_2,bomb_1,bomb_2,bomb_3,bomb_4,intif_1,intif_2,intif_3,intif_4,deadp_1,deadp_2,deadp_3,oslo_1,oslo_2,oslo_3,pi1_1,pi1_2,pi1_3 ,pi1_4,pi2_1,pi2_2,pi2_3 ,pi2_4,pi3_1,pi3_2,pi3_3,pi3_4,pi3_5,pi4_1,pi4_2,pi4_3,pi4_4,pi4_5,fear_1,fear_2,fear_3,fear_4,twostate1_1,twostate1_2,twostate1_3,twostate1_4,twostate2_1,twostate2_2,twostate2_3,twostate2_4
March,1996,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1996,7.9,NA,76.9,13.4,NA,NA,NA,NA,NA,33.4,7.9,1.6,7.5,29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,42.6,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1996,7.8,NA,74.3,14,NA,NA,NA,NA,NA,34,6.5,2.8,1.4,29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,41.9,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,1996,7.2,NA,77.5,14,NA,NA,NA,NA,NA,42,9.3,3.3,3.1,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,50,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,1996,NA,NA,78.1,14.1,NA,NA,NA,NA,NA,35.2,10.3,3.2,5.1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7,55.2,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
