month,year,N,unemp,trust_1,trust_2,trust_3,trust_4,trust_5,legis_1,legis_2,legis_3,legis_4
October,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2000,440,NA,32.7,23.2,2,3.6,28,NA,NA,NA,NA
January,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2001,440,NA,36.1,23.2,1.8,6.1,21.4,NA,NA,NA,NA
May,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2001,440,NA,38.4,24.5,3.6,5.5,19.8,NA,NA,NA,NA
July,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2001,440,NA,36.6,24.1,5,6.4,16.1,NA,NA,NA,NA
October,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2001,440,NA,30.9,29.4,3.9,6.4,22.3,NA,NA,NA,NA
January,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2002,440,12,35.2,22,3.6,3.2,22.3,NA,NA,NA,NA
April,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2002,440,NA,35.5,27,3.6,4.5,18.4,NA,NA,NA,NA
July,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2002,440,NA,38.9,23,5,2.7,20.2,NA,NA,NA,NA
October,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2002,440,NA,35,21.1,1.8,5,24.8,NA,NA,NA,NA
January,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2003,440,NA,30.7,29.3,2.7,5.9,22.5,NA,NA,NA,NA
May,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2003,440,NA,31.8,25.2,4.3,5.9,25.5,NA,NA,NA,NA
November,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2004,440,NA,27.7,26.4,3.4,6.4,28.2,NA,NA,NA,NA
July,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2004,440,NA,42.7,22.5,2,4.5,17.7,NA,NA,NA,NA
January,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2005,441,NA,37,22,2.9,4.1,23.8,NA,NA,NA,NA
June,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2005,440,NA,40.2,20.5,2,3.4,24.3,NA,NA,NA,NA
January,2006,297,8.9,NA,NA,NA,NA,NA,32.3,30.2,34.2,NA
February,2006,440,NA,30.2,44.6,3.2,3.2,10.7,32.3,48.9,NA,NA
March,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2006,438,NA,29.9,37,5.5,2.3,18.9,29,37,NA,16.9
July,2006,440,NA,NA,NA,NA,NA,NA,39.1,35.7,NA,10.9
August,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2006,440,NA,29.5,33.4,2.3,1.6,28.9,31.6,33.4,NA,24.8
October,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2007,441,NA,29.5,31.5,3.2,2.3,23.6,30.4,30.6,NA,23.6
April,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2007,440,NA,37.5,28.4,2.3,3.4,22.7,40.2,30.7,NA,16.6
September,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2007,440,NA,43.4,25.2,2.3,3.6,20.5,NA,NA,NA,NA
December,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2008,439,NA,35.1,22.8,2.3,3.9,28.7,36.7,22.1,NA,26.4
May,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2008,440,NA,32.5,22.7,2,4.3,33.6,NA,NA,NA,NA
November,2008,440,NA,35.5,23.2,3.2,4.3,28.6,40.2,22.5,NA,20.7
December,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2009,440,NA,29.1,29.8,2,4.1,26.1,33.6,28,NA,20.7
February,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2009,439,NA,34.6,26.9,4.1,4.8,26.2,38.3,27.3,NA,19.8
July,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2009,440,NA,35.7,22.5,1.6,3.4,28.4,43,24.1,NA,20.9
November,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2010,450,NA,35.6,16.7,2,5.1,30.22,42.7,16,NA,26.9
May,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2010,450,NA,39.3,21.3,2,3.6,24.7,43.1,21.6,NA,24.9
October,2010,450,NA,31.6,18,3.8,2.9,35.8,NA,NA,NA,NA
November,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2011,448,NA,33,19.4,2.7,2.9,37.1,NA,NA,NA,NA
May,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2011,448,NA,41.3,21.7,2,2.5,24.6,NA,NA,NA,NA
July,2011,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2011,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2011,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2011,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2011,450,NA,38.7,22.2,3.8,2.2,25.8,40.2,24.4,NA,22.4
December,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
