month,year,N,unemp,trust_1,trust_2,trust_3,trust_4,trust_5,legis_1,legis_2,legis_3,legis_4
October,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2000,759,NA,31.8,19.2,1.7,3,28.2,NA,NA,NA,NA
January,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2001,760,NA,34.5,14.5,1.3,4.2,24.1,NA,NA,NA,NA
May,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2001,761,NA,32.9,15.1,2.2,5.1,27.3,NA,NA,NA,NA
July,2001,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2001,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2001,758,NA,24.9,18.7,3.8,5.3,26.5,NA,NA,NA,NA
October,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2001,761,NA,23.3,16.7,2.5,4.7,35.1,NA,NA,NA,NA
January,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2002,720,7.6,26,18.5,4,4,34,NA,NA,NA,NA
April,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2002,739,NA,22.5,19.9,3.8,4.1,32.5,NA,NA,NA,NA
July,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2002,759,NA,29.4,19.6,3.3,2.4,29,NA,NA,NA,NA
October,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2002,760,NA,24.1,19.5,2.2,6.1,35.3,NA,NA,NA,NA
January,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2003,761,NA,18,17.7,1.6,6.6,41.1,NA,NA,NA,NA
May,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2003,758,NA,27.8,21.1,3.2,5.1,29.6,NA,NA,NA,NA
November,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2004,760,NA,25.7,18.9,2.6,5,29.9,NA,NA,NA,NA
July,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2004,760,NA,38.4,16.3,1.4,4.2,25.3,NA,NA,NA,NA
January,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2005,759,NA,35.6,18.6,2.9,3.4,30.7,NA,NA,NA,NA
June,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2005,759,NA,38.2,17.4,1.7,5,26.2,NA,NA,NA,NA
January,2006,518,NA,NA,NA,NA,NA,NA,29.7,26.6,NA,NA
February,2006,760,NA,34.1,30.8,4.3,2,17.6,30.3,37.1,NA,NA
March,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2006,759,NA,35.8,24.2,3.7,2.1,23.3,35.6,27.3,NA,20.9
July,2006,757,NA,NA,NA,NA,NA,NA,30.3,29.6,NA,15.5
August,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2006,760,NA,31.3,27.5,4.3,0.9,24.1,32.2,28.8,NA,20.3
October,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2007,757,NA,32.5,21.5,3.3,1.1,29.2,32.2,20.6,NA,32.5
April,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2007,759,NA,32.7,17.7,3.2,1.3,32.8,36.6,20,NA,25.3
September,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2007,760,NA,38,16.4,3.2,1.4,30.7,NA,NA,NA,NA
December,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2008,760,NA,31.1,15,2.5,2.1,36.4,32.5,17.8,NA,29.1
May,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2008,754,NA,29.3,12.7,2.5,0.8,38.5,NA,NA,NA,NA
November,2008,760,NA,28.8,12.8,1.8,1.3,39.9,34.7,17.8,NA,30.3
December,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2009,758,NA,24.3,26.5,4,2.1,31.3,24.5,29,NA,26.9
February,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2009,760,NA,35.1,14.1,4.6,1.7,32.9,38.7,13.9,NA,30.4
July,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2009,760,NA,33.9,15.3,4.9,1.7,30.7,38.3,15.5,NA,25
November,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2010,748,NA,36.6,13.1,3.3,1.2,32,38,13.5,NA,30.5
May,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2010,750,NA,41.5,8.3,3.5,0.5,34.5,44.3,8.7,NA,27.3
October,2010,750,NA,37.6,10.4,2.9,0.7,38.1,NA,NA,NA,NA
November,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2011,750,NA,34.5,12.4,3.2,0.9,37,NA,NA,NA,NA
May,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,2011,750,NA,38,13.6,2.8,1.7,30.7,NA,NA,NA,NA
July,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,2011,750,NA,40.1,16.4,2,0.9,27.9,43.7,20,NA,21.7
December,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
