"states","Hattacks","Fattacks","lag.states","states.discrete"
3.02291983311752,1,1,NA,3.03352365913009
4.27543169797502,1,1,3.02291983311752,4.28352365913009
5.44122682964568,1,1,4.27543169797502,5.43352365913009
6.65436622603367,1,1,5.44122682964568,6.63352365913009
7.92778593809464,1,0,6.65436622603367,7.93352365913009
8.07826259246579,1,0,7.92778593809464,8.08352365913009
8.2353230417804,1,0,8.07826259246579,8.23352365913009
8.31252826387655,1,0,8.2353230417804,8.33352365913009
8.44502042336004,1,0,8.31252826387655,8.43352365913009
8.51150347267679,1,0,8.44502042336004,8.53352365913009
8.58171750625393,1,0,8.51150347267679,8.58352365913009
8.72808750115618,1,0,8.58171750625393,8.73352365913009
8.92782131098625,1,0,8.72808750115618,8.93352365913009
9.13132575489005,0,0,8.92782131098625,9.13352365913009
9.54736677041217,0,0,9.13132575489005,9.53352365913009
9.86318521154126,1,0,9.54736677041217,9.88352365913009
9.89653819180797,0,1,9.86318521154126,9.88352365913009
11.2243283665727,0,0,9.89653819180797,11.2335236591301
11.4899146210008,1,0,11.2243283665727,11.4835236591301
11.5160343507655,1,0,11.4899146210008,11.5335236591301
11.6586160082991,1,0,11.5160343507655,11.6835236591301
11.8052283788414,0,0,11.6586160082991,11.7835236591301
12.1093965373105,0,0,11.8052283788414,12.1335236591301
12.4148576771608,0,0,12.1093965373105,12.1335236591301
12.5525937008195,1,0,12.4148576771608,12.1335236591301
12.4244499092856,1,0,12.5525937008195,12.1335236591301
12.2988919831514,1,0,12.4244499092856,12.1335236591301
12.0499732145698,0,0,12.2988919831514,12.0335236591301
12.0980839552464,0,0,12.0499732145698,12.0835236591301
12.147486599902,0,0,12.0980839552464,12.1335236591301
12.1650205778296,0,0,12.147486599902,12.1335236591301
12.1838528347323,0,0,12.1650205778296,12.1335236591301
12.1855035382332,0,0,12.1838528347323,12.1335236591301
12.1571685561609,0,0,12.1855035382332,12.1335236591301
12.0560075789594,1,0,12.1571685561609,12.0335236591301
11.6725899837303,0,0,12.0560075789594,11.6835236591301
11.5970854642953,0,0,11.6725899837303,11.5835236591301
11.522825134101,0,0,11.5970854642953,11.5335236591301
11.4498019206468,1,0,11.522825134101,11.4335236591301
11.0043054468188,0,0,11.4498019206468,10.9835236591301
10.8400905797278,0,0,11.0043054468188,10.8335236591301
10.677047806226,0,0,10.8400905797278,10.6835236591301
10.4869515786623,1,0,10.677047806226,10.4835236591301
10.0413743579768,0,0,10.4869515786623,10.0335236591301
9.8832183400439,0,0,10.0413743579768,9.88352365913009
9.76184068444286,0,0,9.8832183400439,9.78352365913009
9.64153243068168,0,0,9.76184068444286,9.63352365913009
9.54518027523025,0,0,9.64153243068168,9.53352365913009
9.49574875706647,0,0,9.54518027523025,9.48352365913009
9.44736129833761,0,0,9.49574875706647,9.43352365913009
9.40001329065668,1,0,9.44736129833761,9.38352365913009
8.96327347016336,0,0,9.40001329065668,8.98352365913009
8.81385217486462,0,0,8.96327347016336,8.83352365913009
8.72749633470155,0,0,8.81385217486462,8.73352365913009
8.63259341959844,1,0,8.72749633470155,8.63352365913009
8.25510784295036,0,0,8.63259341959844,8.23352365913009
8.21922527937017,1,0,8.25510784295036,8.23352365913009
7.90072068535881,1,0,8.21922527937017,7.88352365913009
7.61346906260375,1,0,7.90072068535881,7.63352365913009
7.29945634270386,0,0,7.61346906260375,7.28352365913009
7.27260368724467,0,0,7.29945634270386,7.28352365913009
7.20784824787568,1,0,7.27260368724467,7.18352365913009
6.86037445525002,0,0,7.20784824787568,6.88352365913009
6.80247610748812,0,0,6.86037445525002,6.78352365913009
6.7252418147801,0,0,6.80247610748812,6.73352365913009
6.64878772040625,0,0,6.7252418147801,6.63352365913009
6.53788019495795,0,0,6.64878772040625,6.53352365913009
6.44992627490714,1,0,6.53788019495795,6.43352365913009
6.09843232208258,0,0,6.44992627490714,6.08352365913009
5.98606417159078,0,0,6.09843232208258,5.98352365913009
5.81442789640871,0,0,5.98606417159078,5.83352365913009
5.6434850742943,0,0,5.81442789640871,5.63352365913009
5.38759024467794,0,0,5.6434850742943,5.38352365913009
5.09087354339265,0,0,5.38759024467794,5.08352365913009
4.74646316588744,0,0,5.09087354339265,4.73352365913009
4.41270769193744,0,0,4.74646316588744,4.43352365913009
4.07951217222482,0,0,4.41270769193744,4.08352365913009
3.74684487344646,0,0,4.07951217222482,3.73352365913009
3.37605864493872,0,0,3.74684487344646,3.38352365913009
2.91526012111863,0,0,3.37605864493872,2.93352365913009
2.4548789356997,0,0,2.91526012111863,2.43352365913009
1.99487124230692,0,0,2.4548789356997,1.98352365913009
1.5351932301364,0,0,1.99487124230692,1.53352365913009
1.07580111978286,1,0,1.5351932301364,1.08352365913009
0.405834304045697,1,1,1.07580111978286,0.383523659130091
0.789644003365003,1,0,0.405834304045697,0.783523659130092
0.115326599096803,1,0,0.789644003365003,0.133523659130091
-0.556059466794614,1,1,0.115326599096803,-0.56647634086991
-0.18135923870656,1,0,-0.556059466794614,-0.166476340869909
-0.864878591860683,1,0,-0.18135923870656,-0.866476340869909
-1.54018466241742,1,0,-0.864878591860683,-1.51647634086991
-2.18361541907367,1,1,-1.54018466241742,-2.16647634086991
-1.77351627801408,1,0,-2.18361541907367,-1.76647634086991
-2.32335610824145,1,0,-1.77351627801408,-2.31647634086991
-2.87049685848985,1,0,-2.32335610824145,-2.86647634086991
-3.41499063805321,1,0,-2.87049685848985,-3.41647634086991
-3.85534158242017,1,0,-3.41499063805321,-3.86647634086991
-4.2931393520096,1,1,-3.85534158242017,-4.31647634086991
